filename,Code,Replicate,3a7a12k_taurine_14542,Di_taurine_19595,Tri_taurine_20369,3a12k_taurine_22309,Tri_glycine_25947,Di_glycine_27361,Di_taurine_29331,Di_taurine_30261,Di_glycine_34166,Di_glycine_34738,Mono_taurine_35357,Mono_glycine_38634
P1_E4_cluster144_A0A1C5VKY6_rep3,A0A1C5VKY6,rep3,70007576,6088.099,0,64640476,0,2642642,69300290,13896.907,1860022.5,2356844.8,48263484,3746067
P1_E5_cluster184_A0A1D2WV04,A0A1D2WV04,rep1,82883656,3389.614,0,85937250,701338.9,5358765,9490655,0,17270856,1327023.5,56681148,16471635
P1_E5_cluster184_A0A1D2WV04_rep2,A0A1D2WV04,rep2,98164530,20946.23,0,108689760,401323.88,9083217,8165968.5,0,19838140,361308.12,75165550,24699128
P1_E5_cluster184_A0A1D2WV04_rep3,A0A1D2WV04,rep3,4445298.5,0,0,7785254.5,0,496178.47,2670374.2,0,2353231.8,29033.31,575744,500265.56
P1_E6_cluster247_A0A3E4KT54,A0A3E4KT54,rep1,100313000,3048.924,0,82231420,0,7772852,22575820,0,22750530,2109026,26109300,20235720
P1_E6_cluster247_A0A3E4KT54_rep2,A0A3E4KT54,rep2,107726300,4614.318,0,103603900,0,9426907,12316040,0,22089870,2128483,69790500,18166550
P1_E6_cluster247_A0A3E4KT54_rep3,A0A3E4KT54,rep3,102246500,4913.664,0,87515850,0,8213824,15809840,0,25161820,648182.9,51125670,19616720
P1_E7_cluster272_A0A1E3ADP5,A0A1E3ADP5,rep1,82469490,10471.49,0,78570680,612400.94,6994449,18799144,0,17904048,1394912.1,52499120,17469094
P1_E7_cluster272_A0A1E3ADP5_rep2,A0A1E3ADP5,rep2,89941330,21901.63,0,105449130,944089.44,9132672,25234564,0,22922994,1233565.2,67897304,21325852
P1_E7_cluster272_A0A1E3ADP5_rep3,A0A1E3ADP5,rep3,103728700,7646.025,0,104440500,221332.7,10775810,22878390,0,22109520,1639833,68461950,20623320
P1_E8_cluster365_R7PBA0,R7PBA0,rep1,82005920,3533.58,0,41005544,0,12640200,16440774,0,23322154,1598764.2,2734407.8,18669482
P1_E8_cluster365_R7PBA0_rep2,R7PBA0,rep2,93655240,0,0,51371756,0,12349798,30990344,0,27099382,2871534,3123499,23003932
P1_E8_cluster365_R7PBA0_rep3,R7PBA0,rep3,92088110,0,0,37873670,0,14922741,31122612,0,29863194,1213867,2546612,19862550
P1_E9_cluster398_A0A1C5MIH1,A0A1C5MIH1,rep1,84199130,6971.874,0,50357704,297466.2,6336560,4514322,5114.433,18048760,1975765.1,24507316,16400745
P1_E9_cluster398_A0A1C5MIH1_rep2,A0A1C5MIH1,rep2,107576300,0,0,113504300,843994.9,8343796,23788610,2691.178,22948710,2139037,71942420,14549980
P1_E9_cluster398_A0A1C5MIH1_rep3,A0A1C5MIH1,rep3,100462500,0,0,91661340,0,9191598,8231598,629.2172,20874830,2149661,62386820,11163010
P1_F1_cluster11_A0A174CW35,A0A174CW35,rep1,37012.19,0,0,46674.04,0,28841.09,58859.59,0,20563.29,0,57568.04,146130.16
P1_F1_cluster11_A0A174CW35_rep2,A0A174CW35,rep2,7299.998,0,0,6856.121,0,9138.005,4630.945,0,7190.265,0,6208.092,21124.531
P1_F1_cluster11_A0A174CW35_rep3,A0A174CW35,rep3,4408941.5,0,0,8217975,3139.86,468239.9,2451204.5,0,2506595.2,13853,636876.7,645833.4
P1_F10_cluster518_B0MC37,B0MC37,rep1,87730010,5348.795,0,92626900,737690,7917839.5,24295186,0,19338928,724448,54125500,16028568
P1_F10_cluster518_B0MC37_rep2,B0MC37,rep2,118443300,0,0,88571050,937738.9,9627558,26267934,0,23689138,1759689.5,73937350,18717158
P1_F10_cluster518_B0MC37_rep3,B0MC37,rep3,129859580,0,0,133080060,1343622,11941793,30465816,0,25917148,1979603,78577750,18366748
P1_F11_cluster564_A0A1Q6JXM9,A0A1Q6JXM9,rep1,69393500,0,0,71940104,0,2250744.5,19112124,15459.44,2431861.5,1666168.2,49520280,7758829
P1_F11_cluster564_A0A1Q6JXM9_rep2,A0A1Q6JXM9,rep2,54470.65,0,0,50683.52,0,24054.09,55652.96,0,38114.67,0,78526.05,126867.38
P1_F11_cluster564_A0A1Q6JXM9_rep3,A0A1Q6JXM9,rep3,19628.97,0,0,29355.68,0,28821.05,35924.66,0,27491.64,0,63812.93,89887.72
P1_F12_cluster791_A0A3E2XR62,A0A3E2XR62,rep1,89219000,0,0,71257720,559291.2,2329451.5,21918906,20353.09,12938823,2022836.5,62216650,9816540
P1_F12_cluster791_A0A3E2XR62_rep2,A0A3E2XR62,rep2,748.5803,0,0,232.6463,0,3180.204,177.1728,0,3540.8647,0,379.4186,26320.986
P1_F12_cluster791_A0A3E2XR62_rep3,A0A3E2XR62,rep3,16851.63,0,0,25259.19,0,15611.04,29781.22,0,31300.17,0,49594.09,133264.67
P1_F2_cluster40_A0A0M6WSM3,A0A0M6WSM3,rep1,88943864,8010.782,0,83582024,0,1213461.8,15723581,14473.035,3235428,1085382.8,55064844,3403673.2
P1_F2_cluster40_A0A0M6WSM3_rep2,A0A0M6WSM3,rep2,18800.06,0,0,27348.82,0,22098.02,23620.15,0,25873.75,0,38410.69,75691.23
P1_F2_cluster40_A0A0M6WSM3_rep3,A0A0M6WSM3,rep3,83104820,5561.345,0,83872880,0,787909.25,36488716,12592.398,1517210.2,651923.94,64029812,1384253.1
P1_F3_cluster86_A0A1C5V0T2,A0A1C5V0T2,rep1,92691900,7587.484,0,94013170,535939,6817722.5,22099294,1682.943,16204698,1922134.2,56010990,14785524
P1_F3_cluster86_A0A1C5V0T2_rep2,A0A1C5V0T2,rep2,112301400,9112.141,0,125157800,534243.8,10036320,13123490,1970.296,19667820,1966878,72557010,20154260
P1_F3_cluster86_A0A1C5V0T2_rep3,A0A1C5V0T2,rep3,97714820,20713.8,0,98189620,94593.12,10164160,8895344,955.6153,18930310,2006959,72614500,18794880
P1_F4_cluster145_A0A358VEZ8,A0A358VEZ8,rep1,86492370,4303.596,0,84623360,412316.03,4551171,19920554,6369.099,14258744,2068288.2,54616450,13331112
P1_F4_cluster145_A0A358VEZ8_rep2,A0A358VEZ8,rep2,96510600,6132.942,0,72656020,862201.8,6306763.5,13616204,4056.859,20464528,1743394.2,71864040,14901552
P1_F4_cluster145_A0A358VEZ8_rep3,A0A358VEZ8,rep3,100200500,0,0,100937600,53632.16,7691202,34834920,2330.946,18746780,2217180,67276000,11516550
P1_F5_cluster200_A0A1Y3VSR9,A0A1Y3VSR9,rep1,96336620,12079.53,0,86735370,106711.31,8370655.5,22093596,0,20911678,1218424.4,55548340,20230088
P1_F5_cluster200_A0A1Y3VSR9_rep2,A0A1Y3VSR9,rep2,103072500,8028.724,0,66246370,430811.5,7291033,26766650,0,22913510,1802527,69009220,14423900
P1_F5_cluster200_A0A1Y3VSR9_rep3,A0A1Y3VSR9,rep3,95655180,0,0,88827950,0,11000941,23914724,0,22760160,1899104,60150550,19601386
P1_F6_cluster255_A0A3R6IUG4,A0A3R6IUG4,rep1,89206430,11530.339,0,93121736,657449.8,5529510.5,8770451,5229.794,9223938,2703179.2,59560744,12871083
P1_F6_cluster255_A0A3R6IUG4_rep2,A0A3R6IUG4,rep2,104956200,5781.493,0,116373800,705139.8,6673114,29740800,4485.989,14559210,3224474,78458370,14841620
P1_F6_cluster255_A0A3R6IUG4_rep3,A0A3R6IUG4,rep3,103425300,0,0,106589400,0,7856836,28646540,2765.738,11300820,2529829,71520520,16528420
P1_F7_cluster277_A0A1Q6PYZ4,A0A1Q6PYZ4,rep1,10856146,37807.1,0,7796881.5,0,9033325,6470520.5,17308.17,1906763,266615.44,17903634,4615842
P1_F7_cluster277_A0A1Q6PYZ4_rep2,A0A1Q6PYZ4,rep2,13614759,46880.29,0,11057750,0,12031879,8140750,19160.95,2376265.5,379342.06,24544134,6044924
P1_F7_cluster277_A0A1Q6PYZ4_rep3,A0A1Q6PYZ4,rep3,10850054,19409.56,0,7708259,0,11971988,7162623.5,12768.29,1769803.5,200427.56,14587617,4167285.8
P1_F8_cluster369_A0A412TTM9,A0A412TTM9,rep1,83846710,0,0,84900690,0,8194081,15332621,0,19653712,2363501,28131578,18160122
P1_F8_cluster369_A0A412TTM9_rep2,A0A412TTM9,rep2,92273250,0,0,103515150,0,10482643,17648942,0,26802988,2403909,31148090,18213914
P1_F8_cluster369_A0A412TTM9_rep3,A0A412TTM9,rep3,58096720,0,0,67598830,22143.88,6761506.5,20366920,0,7362856.5,383084.56,18659148,14186706
P1_F9_cluster406_A0A414Q275,A0A414Q275,rep1,15217649,65297.21,0,25088710,0,12066328,5822165,0,21490214,2024248.5,2693693,16718878
P1_F9_cluster406_A0A414Q275_rep2,A0A414Q275,rep2,17272038,68532.26,0,31225428,0,13535083,6869718.5,0,25742698,1767208.5,3988223,19610974
P1_F9_cluster406_A0A414Q275_rep3,A0A414Q275,rep3,18287784,56246.62,0,21824658,0,15015954,5169941.5,0,31421770,2588493.2,3084294,22745432
P1_G1_cluster13_A0A1C7H271,A0A1C7H271,rep1,209179.81,0,0,49156.75,0,8749.522,16363.378,0,11722.368,0,11297.816,37109.777
P1_G1_cluster13_A0A1C7H271_rep2,A0A1C7H271,rep2,17918.33,0,0,33886.46,0,38048.87,42609.83,0,39308.47,0,83067.04,177781.61
P1_G1_cluster13_A0A1C7H271_rep3,A0A1C7H271,rep3,43699140,5194.751,0,8920572,0,2082129,9148850,17789.111,1181403.9,54686.324,3500244.2,1034917.8
P1_G10_cluster524_C0CIF5,C0CIF5,rep1,96240650,5374.268,0,91527780,575778.6,8324962.5,8322320,0,19372502,1826590.9,56146520,17242102
P1_G10_cluster524_C0CIF5_rep2,C0CIF5,rep2,8730.314,0,0,18719.496,0,16061.221,25303.107,0,23721.102,0,44586.67,101499.9
P1_G10_cluster524_C0CIF5_rep3,C0CIF5,rep3,132303870,0,0,147408510,1751356,11078021,32261490,0,26381518,2165888,82864750,18286276
P1_G11_cluster569_A0A350THC0,A0A350THC0,rep1,1158536.1,3412.201,0,84947130,338806.38,5553052.5,22417924,6999.474,11232659,2017743,52149028,15158610
P1_G11_cluster569_A0A350THC0_rep2,A0A350THC0,rep2,93124350,2614.125,0,104497900,427928.5,7779627,5627946,12614.21,10116790,2434727,65154750,19591690
P1_G11_cluster569_A0A350THC0_rep3,A0A350THC0,rep3,17630.68,0,0,23539.76,0,25291.81,27393.47,0,29160.3,0,52911.4,105625.34
P1_G12_cluster830_A0A1C6FDU7,A0A1C6FDU7,rep1,5266.78,0,0,5769.888,0,17049.436,6915.314,0,20245.824,0,8577.261,32781.49
P1_G12_cluster830_A0A1C6FDU7_rep2,A0A1C6FDU7,rep2,1818.3165,0,0,1568.6483,0,1581.413,444.3581,0,5106.9443,0,1505.4539,8825.968
P1_G12_cluster830_A0A1C6FDU7_rep3,A0A1C6FDU7,rep3,15977.86,0,0,23749.61,0,24705,28685.13,0,34279.89,0,52928.94,87685.44
P1_G2_cluster44_A0A1C5PCN0,A0A1C5PCN0,rep1,67818830,5528.491,0,57663640,0,1757897.6,28969770,16118.617,2578516,943064.6,42928130,3598979.8
P1_G2_cluster44_A0A1C5PCN0_rep2,A0A1C5PCN0,rep2,74546824,17527.97,0,76844570,0,1866206.2,19549670,21306.88,3274218.5,1548173,81766344,14142916
P1_G2_cluster44_A0A1C5PCN0_rep3,A0A1C5PCN0,rep3,63291148,0,0,58277064,0,1992817.6,37819150,11494.53,1818239.1,1013710,41867320,3373018.2
P1_G3_cluster98_A0A0M6WMX1,A0A0M6WMX1,rep1,83381850,0,0,65108510,72075.02,1667139.5,24400704,5766.627,3533526,1726611.2,53602812,3507524
P1_G3_cluster98_A0A0M6WMX1_rep2,A0A0M6WMX1,rep2,100314850,17290.46,0,92873570,456457.6,2400071.5,29406626,11549.17,9405944,2349004.2,81717950,14314649
P1_G3_cluster98_A0A0M6WMX1_rep3,A0A0M6WMX1,rep3,93234910,6487.006,0,83759840,151522.75,3231470.5,19229476,6344.977,7198612.5,903853.06,63583390,6624728.5
