Enzyme,Amine,Hydroxyl
A0A0D8IVP2,cadaverine,Tri
A0A0D8IVP2,citrulline,Di
A0A0D8IVP2,citrulline,Mono
A0A0D8IVP2,citrulline,Tri
A0A0D8IVP2,cystine,Di
A0A0D8IVP2,cystine,Mono
A0A0D8IVP2,cystine,Tri
A0A0D8IVP2,dopamine,Di
A0A0D8IVP2,dopamine,Mono
A0A0D8IVP2,dopamine,Tri
A0A0D8IVP2,gaba,Di
A0A0D8IVP2,gaba,Mono
A0A0D8IVP2,gaba,Tri
A0A0D8IVP2,glutamine,Di
A0A0D8IVP2,glutamine,Mono
A0A0D8IVP2,glutamine,Tri
A0A0D8IVP2,glyglycine,Di
A0A0D8IVP2,glyglycine,Mono
A0A0D8IVP2,glyglycine,Tri
A0A0D8IVP2,histidine,Di
A0A0D8IVP2,histidine,Mono
A0A0D8IVP2,histidine,Tri
A0A0D8IVP2,lysine,Di
A0A0D8IVP2,lysine,Mono
A0A0D8IVP2,lysine,Tri
A0A0D8IVP2,methionine,Di
A0A0D8IVP2,methionine,Mono
A0A0D8IVP2,methionine,Tri
A0A0D8IVP2,ornithine,Di
A0A0D8IVP2,ornithine,Mono
A0A0D8IVP2,ornithine,Tri
A0A0D8IVP2,phenylalanine,Di
A0A0D8IVP2,phenylalanine,Mono
A0A0D8IVP2,phenylalanine,Tri
A0A0D8IVP2,proline,Di
A0A0D8IVP2,proline,Mono
A0A0D8IVP2,proline,Tri
A0A0D8IVP2,putrescine,Di
A0A0D8IVP2,putrescine,Mono
A0A0D8IVP2,putrescine,Tri
A0A0D8IVP2,serine,Di
A0A0D8IVP2,serine,Mono
A0A0D8IVP2,serine,Tri
A0A0D8IVP2,serotonin,Di
A0A0D8IVP2,serotonin,Mono
A0A0D8IVP2,serotonin,Tri
A0A0D8IVP2,threonine,Di
A0A0D8IVP2,threonine,Mono
A0A0D8IVP2,threonine,Tri
A0A0D8IVP2,tryptamine,Di
A0A0D8IVP2,tryptamine,Mono
A0A0D8IVP2,tryptamine,Tri
A0A0D8IVP2,tyramine,Di
A0A0D8IVP2,tyramine,Mono
A0A0D8IVP2,tyramine,Tri
A0A0F0CI09,"2,3_diaminopropionic acid",Di
A0A0F0CI09,"2,3_diaminopropionic acid",Mono
A0A0F0CI09,"2,3_diaminopropionic acid",Tri
A0A0F0CI09,2_aminophenol,Di
A0A0F0CI09,2_aminophenol,Mono
